Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_consumption
Angola,1200000,1800000,2100000,1200000,1500000,600000,1200000,2400000,1800000,1200000,1200000,1200000,1200000,900000,900000,900000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,1800000,46500000
Bolivia,1500000,1620000,1650000,1710000,1770000,1830000,1890000,1950000,1980000,2040000,2100000,2190000,2250000,2310000,2700000,2460000,2520000,2610000,2700000,2760000,2850000,2940000,3030000,3120000,3210000,3300000,3420000,3510000,3600000,3660000,75180000
Brazil,492000000,510000000,534000000,546000000,558000000,606000000,660000000,690000000,732000000,762000000,792000000,815400000,825000000,852000000,896760000,932280000,979860000,1026600000,1059600000,1103400000,1147920000,1183200000,1219800000,1205100000,1219980000,1230480000,1273500000,1319820000,1332000000,1320000000,27824700000
Burundi,120000,96000,102000,114600,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,114360,93600,81420,86100,83940,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,3412020
Ecuador,21000000,21000000,21000000,21000000,21000000,21000000,18000000,18000000,18000000,13800000,12000000,12000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9300000,9300000,9300000,9300000,9300000,9300000,8940000,381540000
Indonesia,74520000,76800000,79140000,81540000,84000000,86580000,89160000,91920000,94680000,97560000,100560000,120000000,106740000,109980000,120000000,150000000,169980000,199980000,199980000,199980000,199980000,220020000,234000000,255000000,265020000,273000000,279000000,285000000,288000000,288360000,4920480000
Madagascar,21000000,18000000,21000000,21600000,9999960,10020000,10020000,10020000,10020000,3360000,5346000,7680000,13020000,19980000,28020000,28020000,28020000,28020000,28020000,28020000,28020000,27000000,25800000,24600000,23400000,22200000,21600000,21900000,22500000,22500000,588705960
Malawi,120000,120000,120000,120000,120000,120000,120000,120000,120000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,2340000
Papua New Guinea,180000,180000,180000,120000,120000,120000,120000,120000,60000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,85800,74160,102660,122340,115440,108000,120000,120000,120000,120000,3608400
Paraguay,900000,900000,900000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,35100000
Peru,11400000,11400000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,13200000,13200000,13200000,13200000,13200000,13200000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,402000000
Rwanda,60000,60000,60000,60000,60000,60000,60000,180000,180000,120000,120000,120000,19980,19980,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,2139960
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29400,29400,29400,29400,29400,29400,29400,29400,29400,29400,294000
Zimbabwe,480000,480000,480000,499980,499980,396000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,240000,8595960
Congo,180000,160020,160020,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,5360040
Cuba,12780000,12780000,11700000,11646000,11640000,11640000,11340000,11700000,12000000,12000000,12780000,13200000,13440000,13440000,13440000,13440000,13440000,13440000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,13200000,12960000,384006000
Dominican Rep.,19200000,19200000,19200000,19200000,19800000,21000000,19500000,19500000,19500000,19500000,19500000,20411880,20411880,20400000,22679880,22679880,22679880,22680000,22680000,22680000,22680000,22680000,22680000,22999980,23280000,23280000,23400000,23400000,23400000,22620000,642823380
Haiti,13200000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,19800000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20400000,20700000,20700000,600600000
Philippines,43200000,45000000,45000000,46200000,47400000,48600000,49860000,51180000,48600000,51720000,49200000,49260000,49740000,55020000,61200000,62400000,63600000,63600000,103200000,109200000,127500000,130500000,139500000,153000000,168000000,180000000,181800000,190800000,198000000,195000000,2807280000
Tanzania,240000,210000,1152000,1050000,1050000,816000,996000,1020000,1020000,840000,900000,900000,900000,1620000,2220000,2820000,2820000,2820000,2820000,2820000,2820000,3537000,4302000,4408020,4603020,5523000,5478000,5500020,5520000,5700000,76425060
Zambia,90000,90000,85920,60000,90000,36000,60000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,60000,60000,0,0,0,0,0,0,0,0,0,0,0,991920
Cameroon,4998000,4999980,4999980,6000000,6000000,6000000,6000000,6000000,6000000,6000000,4500000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4140000,4099980,4201020,4303980,4408980,4519020,4560000,4620000,4680000,4680000,4620000,143450940
